Latitude,Longitude,Depth,Magnitude,Place,Month,Year
28.1762,130.6658,24.42,4.8,Japan,12,2023
40.0474,142.1067,48.231,4.3,Japan,12,2023
42.8445,142.4671,45.185,4.5,Japan,12,2023
27.8668,128.9747,51.324,4.5,Japan,12,2023
40.5601,142.4133,38.266,4.8,Japan,12,2023
33.822,138.2459,272.88,4.4,Japan,12,2023
41.9589,142.2525,62.994,4.7,Japan,12,2023
26.0895,128.6231,10,4,Japan,12,2023
25.9254,128.5175,10,4.4,Japan,12,2023
33.149,137.7852,336.23,5,Japan,12,2023
24.9607,122.747,10,4.1,Japan,12,2023
24.9571,122.6719,10,4.5,Japan,12,2023
24.9169,122.7385,19.226,4.7,Japan,12,2023
24.9264,122.6937,10,4.1,Japan,12,2023
42.907,143.1013,117.667,4.4,Japan,12,2023
33.2631,141.3365,35.333,4.1,Japan,12,2023
35.112,141.2852,10,4.3,Japan,12,2023
42.0236,142.5991,60.794,4.2,Japan,12,2023
37.5527,138.998,168.877,4,Japan,12,2023
40.1554,142.2311,20.474,4.5,Japan,12,2023
35.2045,140.9422,13.191,5,Japan,12,2023
35.2448,141.1349,29.059,4.3,Japan,12,2023
35.1443,141.1149,20.992,4.8,Japan,12,2023
35.1595,140.8563,27.274,4.8,Japan,12,2023
35.1364,141.1433,10,4.6,Japan,12,2023
35.2431,141.0136,10,5.2,Japan,12,2023
35.0969,141.3057,10,4.5,Japan,12,2023
35.1413,141.1851,28.061,4.7,Japan,12,2023
38.521,142.1695,38.103,4.3,Japan,12,2023
24.1996,125.9389,10,4.5,Japan,12,2023
27.625,129.9196,10,4.2,Japan,12,2023
37.8385,144.3904,29.218,4.5,Japan,12,2023
26.0318,128.6546,10,4.4,Japan,12,2023
36.2197,139.6826,77.918,4.7,Japan,12,2023
25.959,128.5374,10,4.4,Japan,12,2023
37.4842,142.4099,39.064,4.5,Japan,12,2023
39.8135,141.8833,64.211,4.4,Japan,12,2023
45.1227,141.3315,284.322,4.3,Japan,12,2023
41.2662,142.3607,54.558,4.2,Japan,12,2023
25.8578,124.3128,177.425,4,Japan,12,2023
35.5688,140.17,66.721,4,Japan,12,2023
26.2374,128.215,25.309,4.4,Japan,12,2023
26.0949,128.4027,10,4.2,Japan,12,2023
35.9088,139.9124,88.561,4.3,Japan,12,2023
38.7725,142.3649,35,4.4,Japan,12,2023
43.1071,138.2392,247.994,4.2,Japan,12,2023
35.9524,141.4826,34.967,4.4,Japan,12,2023
34.4731,140.2525,65.592,4.5,Japan,12,2023
25.1594,126.8582,19.825,4.3,Japan,12,2023
24.1184,125.3006,10,4.4,Japan,12,2023
31.1853,130.9004,70.157,4.2,Japan,12,2023
38.9102,144.6214,10,4.4,Japan,12,2023
33.8207,136.3408,387.892,4.4,Japan,12,2023
36.0184,140.3382,61.285,4.1,Japan,12,2023
25.243,124.7789,89.692,4.3,Japan,12,2023
27.6777,126.4703,205.028,4.3,Japan,12,2023
39.776,140.6913,114.281,4.4,Japan,12,2023
37.9594,141.8354,52.051,4.7,Japan,12,2023
36.0422,139.8737,62.613,4.4,Japan,12,2023
29.3378,130.6944,16.167,4.6,Japan,11,2023
35.0124,140.4536,55.226,4.7,Japan,11,2023
25.0549,125.4397,49.49,4.5,Japan,11,2023
26.8971,126.8152,108.511,4.5,Japan,11,2023
36.1101,141.9688,10,4.3,Japan,11,2023
34.3837,137.5687,297.938,4.6,Japan,11,2023
29.3106,130.4432,37.511,4.5,Japan,11,2023
37.6874,141.7612,58.815,4.4,Japan,11,2023
26.8593,126.9983,106.987,5.3,Japan,11,2023
24.0191,122.4844,25.584,4.9,Japan,11,2023
23.9905,122.4639,24.215,4.5,Japan,11,2023
37.9114,142.5405,32.856,4.8,Japan,11,2023
40.6855,139.6974,191.031,4.1,Japan,11,2023
23.914,123.3848,22.368,4.2,Japan,11,2023
36.4978,140.5697,71.264,4.5,Japan,11,2023
25.5533,125.8091,69.077,4.4,Japan,11,2023
25.5508,124.9239,108.956,4.4,Japan,11,2023
28.2913,130.0506,32.348,4.2,Japan,11,2023
37.7212,142.0707,49.506,4.3,Japan,11,2023
25.8749,128.4382,10,4.4,Japan,11,2023
25.5391,125.325,10,4.5,Japan,11,2023
41.4464,142.2265,63.542,4.3,Japan,11,2023
41.2349,142.214,42,5.8,Japan,11,2023
25.8857,128.4509,10,5,Japan,11,2023
34.2551,141.3975,10,4.4,Japan,11,2023
38.1854,144.2908,10,4.4,Japan,11,2023
38.9289,142.1605,55.306,4.4,Japan,11,2023
34.8135,138.8179,192.331,4.4,Japan,11,2023
43.1563,145.5747,57.481,4.3,Japan,11,2023
22.6907,123.4639,10,4.6,Japan,11,2023
37.0828,141.5951,65.45,4.4,Japan,11,2023
41.9769,142.3838,72.408,4.3,Japan,11,2023
40.9732,142.9535,35,4.2,Japan,11,2023
41.6996,144.0742,32.248,4.4,Japan,11,2023
33.6738,138.5527,8.444,4.4,Japan,11,2023
29.912,129.9902,9.949,4.5,Japan,11,2023
25.5329,125.7791,23.292,4.6,Japan,11,2023
35.5275,139.4756,107.279,4.3,Japan,11,2023
39.1733,144.7163,10,4.6,Japan,11,2023
39.7647,143.6172,10,4.4,Japan,11,2023
26.8141,126.7256,119.754,4.4,Japan,11,2023
33.8177,139.6292,123.658,4.4,Japan,11,2023
37.828,141.7219,51.87,4.7,Japan,11,2023
42.7464,142.5637,122.247,4.3,Japan,11,2023
39.8885,143.1551,36.519,4.6,Japan,11,2023
36.5639,142.4017,20.077,4.3,Japan,11,2023
43.1766,145.6916,64.511,4.5,Japan,11,2023
41.1438,140.0351,170.748,4,Japan,11,2023
33.7873,135.0557,40.031,4.8,Japan,10,2023
36.1205,139.7988,62.094,4.3,Japan,10,2023
26.3614,126.9478,73.332,4.6,Japan,10,2023
29.2235,130.3559,48.308,4.5,Japan,10,2023
38.9522,142.5779,33.191,4.7,Japan,10,2023
38.9388,142.5014,41.505,4.7,Japan,10,2023
36.4016,140.324,110.199,4.3,Japan,10,2023
28.8585,131.914,10,4.2,Japan,10,2023
24.9504,128.0884,10,4,Japan,10,2023
24.0309,127.2679,10,4.2,Japan,10,2023
35.3518,138.981,166.826,4.4,Japan,10,2023
